Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,Выполняемые функции,Должность за кем закреплен ТС,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,Б/Н,ГТС Выборг,В целевой структуре парка,,,апр.24,158,апр.24,"140,26",17,"3,5"
,,,,,,,,04.04.2024,"9,00",02.04.2024,"3,00",1,
,,,,,,,,08.04.2024,"5,00",08.04.2024,"5,00",1,
,,,,,,,,09.04.2024,"7,00",09.04.2024,"7,00",,
,,,,,,,,10.04.2024,"12,00",10.04.2024,"12,00",2,
,,,,,,,,17.04.2024,"5,00",17.04.2024,"5,00",,
,,,,,,,,18.04.2024,"27,00",18.04.2024,"27,00",3,
,,,,,,,,19.04.2024,"21,00",19.04.2024,"21,00",2,
,,,,,,,,20.04.2024,"10,00",20.04.2024,"10,00",3,
,,,,,,,,25.04.2024,"13,00",25.04.2024,"13,00",1,
,,,,,,,,26.04.2024,"37,00",26.04.2024,"27,00",3,
,,,,,,,,27.04.2024,"12,00",27.04.2024,"10,26",1,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0600РХ70,ГТС Выборг,В целевой структуре парка,,,апр.24,116,апр.24,"116,08",7,"2,6"
,,,,,,,,04.04.2024,"0,00",04.04.2024,"9,08",,
,,,,,,,,10.04.2024,"50,20",10.04.2024,"43,20",2,
,,,,,,,,11.04.2024,"50,20",11.04.2024,"48,20",4,
,,,,,,,,18.04.2024,"2,20",18.04.2024,"2,20",,
,,,,,,,,25.04.2024,"1,00",25.04.2024,"1,00",,
,,,,,,,,28.04.2024,"12,4",28.04.2024,"12,4",1,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0010ТМ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,апр.24,0,апр.24,0,0,0
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0003ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,апр.24,"90,2",апр.24,"140,12",13,"5,7"
,,,,,,,,03.04.2024,"2,00",03.04.2024,"2,00",,
,,,,,,,,09.04.2024,"30,20",09.04.2024,"30,20",2,
,,,,,,,,13.04.2024,"40,20",10.04.2024,"10,12",1,
,,,,,,,,21.04.2024,"3,20",13.04.2024,"40,20",4,
,,,,,,,,25.04.2024,"2,00",21.04.2024,"3,20",,
,,,,,,,,28.04.2024,"12,6",23.04.2024,"10,60",2,
,,,,,,,,,,25.04.2024,"2,00",,
,,,,,,,,,,28.04.2024,"12,6",1,
,,,,,,,,,,30.04.2024,"29,2",3,
ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,М015НН197,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,апр.24,600,апр.24,"589,99",3,"5,6"
,,,,,,,,01.04.2024,"20,00",01.04.2024,"20,00",,
,,,,,,,,08.04.2024,"37,00",08.04.2024,"35,00",,
,,,,,,,,11.04.2024,"33,00",11.04.2024,"33,00",1,
,,,,,,,,12.04.2024,"36,00",12.04.2024,"36,00",,
,,,,,,,,13.04.2024,"13,00",13.04.2024,"13,00",,
,,,,,,,,16.04.2024,"31,00",16.04.2024,"31,00",,
